Place,City,total_reviews,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
AADRIK HOLIDAYS,Malbazar,5,5.0,0,0,5,0.0,0.0,1.0,1.0
AUGUSTIN Studio & Gallery,Agonda,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Adhbut Temple,Haridwar,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Art Mall,New Delhi,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Arya Ayurvedic Centre,Varca,8,5.0,0,0,8,0.0,0.0,1.0,1.0
Belghar Nature Camp,Phulbani,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Chandrampalli Dam,Gulbarga,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Chinmaya Mission,Mumbai,14,5.0,0,0,14,0.0,0.0,1.0,1.0
Dechen Choekhor Mahavihara Monastery,Kullu,12,5.0,0,0,12,0.0,0.0,1.0,1.0
Deobandh Temple,Khodala,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Dr. Diwan Singh Kalepani Museum,Mohali,8,5.0,0,0,8,0.0,0.0,1.0,1.0
Ele Jaipur,Jaipur,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Ezhimala View Point,Kannur,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Girna Dam,Nashik,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Gobardhana Pitha Garoi Ashram,Garoi,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Hatnur Dam,Jalgaon,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Indica Surf School,Nileshwar,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Jadeshwar Temple,Porbandar,7,5.0,0,0,7,0.0,0.0,1.0,1.0
KLN Yadav Park,Hyderabad,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Kalarasa Art House,Bengaluru,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Kanjaripuzha Dam,Palakkad,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Kashmir Tourism Booking,Srinagar,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Kashmir Travel Express,Pahalgam,8,5.0,0,0,8,0.0,0.0,1.0,1.0
Kashyapi Dam,Nashik,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Kelva Beach,Palghar,12,5.0,0,0,12,0.0,0.0,1.0,1.0
Kerala Private Tours,Thodupuzha,12,5.0,0,0,12,0.0,0.0,1.0,1.0
Khoj-aao! Adventures,Mapusa,19,5.0,0,0,19,0.0,0.0,1.0,1.0
Kumaramangalam Park,Barddhaman,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Laxmi Mata Temple,Pune,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Mapple Jungle Camp,Anandpur Sahib,13,5.0,0,0,13,0.0,0.0,1.0,1.0
Master World Culinary Tours,Nedumbassery,10,5.0,0,0,10,0.0,0.0,1.0,1.0
Museum of Legacies,Jaipur,5,5.0,0,0,5,0.0,0.0,1.0,1.0
My Kerala Taxi Cab,Perumbavoor,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Natesan Park,Chennai,9,5.0,0,0,9,0.0,0.0,1.0,1.0
Nirvana Spa,Nagoa,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Odean Cinema,Balasore,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Omkara Hills,Bengaluru,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Open Books library Arambol,Arambol,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Orissa Modern Art Gallery,Bhubaneswar,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Parasnath Jain Temple,Solapur,6,5.0,0,0,6,0.0,0.0,1.0,1.0
PetraVeda,Agonda,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Prantika,Shimla,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Pride Resorts,Hyderabad,8,5.0,0,0,8,0.0,0.0,1.0,1.0
Priyanka RCM store DAHEJ,Dahej,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Prospect Point,Amravati,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Ratnakar Gems,Cavelossim,9,5.0,0,0,9,0.0,0.0,1.0,1.0
Sardulgarh Fort,Mansa,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Shree Ayyappa Vishnu Temple,Mumbai,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Shri Subha Siddhi Vinayaka Mandir,New Delhi,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Special Holidays,Mumbai,10,5.0,0,0,10,0.0,0.0,1.0,1.0
Sri Adishankaracharya Sharada Lakshminarasimha Peetam,Chikmagalur,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Tana Bana maheshwari handloom,Maheshwar,6,5.0,0,0,6,0.0,0.0,1.0,1.0
The Grape Adventures & Holidays,Chinnakanal,23,5.0,0,0,23,0.0,0.0,1.0,1.0
The Shop,Coonoor,12,5.0,0,0,12,0.0,0.0,1.0,1.0
Thiru Kachamkurissi Temple,Kollengode,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Thumba Beach,Trivandrum,7,5.0,0,0,7,0.0,0.0,1.0,1.0
Undeshwar Temple,Bhilwara,6,5.0,0,0,6,0.0,0.0,1.0,1.0
Unora By Tattva Spa,Dispur,13,5.0,0,0,13,0.0,0.0,1.0,1.0
Valamthode Falls,Nilambur,5,5.0,0,0,5,0.0,0.0,1.0,1.0
WildHawk Adventures,Faridabad,5,5.0,0,0,5,0.0,0.0,1.0,1.0
movieEX,Balasore,5,5.0,0,0,5,0.0,0.0,1.0,1.0
Walk to blueCity heritagetour,Jodhpur,20,4.95,0,0,20,0.0,0.0,1.0,1.0
B SIX KERALA HOLIDAYS,Attingal,15,4.933333333333334,0,0,15,0.0,0.0,1.0,1.0
Bagh Travels,Ranthambore National Park,15,4.933333333333334,0,0,15,0.0,0.0,1.0,1.0
Sundarban Beckons,Gosaba,15,4.933333333333334,0,0,15,0.0,0.0,1.0,1.0
Wonder World Water Park,Puri,30,4.933333333333334,0,0,30,0.0,0.0,1.0,1.0
Yo Tours,Udaipur,14,4.928571428571429,0,0,14,0.0,0.0,1.0,1.0
Stallions Valley Horse Riding Academy,Hosur,13,4.923076923076923,0,0,13,0.0,0.0,1.0,1.0
Paddy Adventures,Tapovan,38,4.921052631578948,0,0,38,0.0,0.0,1.0,1.0
Chillout Zone The Adventure Park,Rohtak,23,4.913043478260869,0,0,23,0.0,0.0,1.0,1.0
Bharthana National Park,Surat,11,4.909090909090909,0,0,11,0.0,0.0,1.0,1.0
Tarikhet,Almora,11,4.909090909090909,0,0,11,0.0,0.0,1.0,1.0
Vastra Vinod,Jodhpur,11,4.909090909090909,0,0,11,0.0,0.0,1.0,1.0
Bhoj Aqua Fun,Surat,10,4.9,0,0,10,0.0,0.0,1.0,1.0
Orchha Adventure,Orchha,10,4.9,0,0,10,0.0,0.0,1.0,1.0
Outdoers India,Binsar,10,4.9,0,0,10,0.0,0.0,1.0,1.0
Rangbai Beach,Porbandar,10,4.9,0,0,10,0.0,0.0,1.0,1.0
Wander Nagaland,Kohima,10,4.9,0,0,10,0.0,0.0,1.0,1.0
Rajputana Football Club,Udaipur,19,4.894736842105263,0,0,19,0.0,0.0,1.0,1.0
Ciceronis Travel,Pozhuthana,27,4.888888888888889,0,0,27,0.0,0.0,1.0,1.0
Dehing Patkai Wildlife Sanctuary,Tinsukia,9,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Escapade Adventures and Holidays Pvt. Ltd - Day Tour,Noida,9,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Haflong Lake,Haflong,9,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Janki Agro Tourism,Satara,9,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Phushrey Lake,Aritar,9,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Priyakant Ju Mandir,Vrindavan,9,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Savane Beach,Dapoli,9,4.888888888888889,0,0,9,0.0,0.0,1.0,1.0
Karma Spa,Benaulim,35,4.885714285714286,0,0,35,0.0,0.0,1.0,1.0
Rhythm Art Gallery,Mumbai,26,4.884615384615385,0,0,26,0.0,0.0,1.0,1.0
Mountain View Adventure Park,Yelagiri,17,4.882352941176471,0,0,17,0.0,0.0,1.0,1.0
Banga Jang Lake,Tawang,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Bekal Riviera,Nileshwar,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Bellikkal Lake,Ooty,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Bharat Yoga Session,Vagator,8,4.875,0,0,8,0.0,0.0,1.0,1.0
"Deer Park, Ashok Vihar, Jaipur",Jaipur,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Dwarkadessh Mandir,Itarsi,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Glacier Treks and Adventure,Yuksom,8,4.875,0,0,8,0.0,0.0,1.0,1.0
MacIvor's Bund,Ooty,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Sakur Plateau,Lonavala,8,4.875,0,0,8,0.0,0.0,1.0,1.0
The Grange,Salem,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Thumpachi Calveri Samuchayam,Idukki,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Tibetan Homes School,Mussoorie,8,4.875,0,0,8,0.0,0.0,1.0,1.0
United for Hope Village Trips,Kushinagar,8,4.875,0,0,8,0.0,0.0,1.0,1.0
Art_en_Soul shoppe,Udaipur,14,4.857142857142857,0,0,14,0.0,0.0,1.0,1.0
Bade Mandir,New Delhi,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Casa Del Elefante,Jaipur,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
DustyRoad,Panvel,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Elefuncity,Jaipur,14,4.857142857142857,0,0,14,0.0,0.0,1.0,1.0
Guru Gobind Singh Park,Udaipur,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Hanuman-ka-Tibba,Dharamsala,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Hanumangarhi,Ayodhya,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Katyayani Arts,Gurugram (Gurgaon),14,4.857142857142857,0,0,14,0.0,0.0,1.0,1.0
Khanna Gems Private Limited,Janakpuri,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Kyatanamakki Hill Station,Horanadu,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Millk,Mumbai,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Nongkhnum Island,Nongstoin,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Shree Nakoda Avati 108 Jain Temple,Devanhalli,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Shukrawari Lake,Nagpur,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
St.Joseph Vaz Shrine Mudipu,Mangalore,7,4.857142857142857,0,0,7,0.0,0.0,1.0,1.0
Shri Swami Narayan Temple,Valsad,27,4.851851851851852,0,0,27,0.0,0.0,1.0,1.0
Drishti Yoga School,Rishikesh,13,4.846153846153846,0,0,13,0.0,0.0,1.0,1.0
Aloha Surf India,Agonda,12,4.833333333333333,0,0,12,0.0,0.0,1.0,1.0
Anuvrat Vishwa Bharati,Rajsamand,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Burhana Fakir Mosque,Raiganj,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Children Park,Trivandrum,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Collector's Paradise and Vintage Art Gallery- Mr. Ashok Tak,Pushkar,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
D.G.S Melkote Park,Hyderabad,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Devdari Falls,Chandauli,12,4.833333333333333,0,0,12,0.0,0.0,1.0,1.0
First Break Snooker & Pool,Navsari,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Juice Adventures,Mira Bhayandar,12,4.833333333333333,0,0,12,0.0,0.0,1.0,1.0
Kamaraj Sagar Dam,Ooty,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Kanakeshwar Forest,Alibaug,12,4.833333333333333,0,0,12,0.0,0.0,1.0,1.0
Octopus Surf School Goa,Morjim,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Reddot Art Gallery,Ghaziabad,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Ropar Wetland (Ropar Lake),Nawanshahr,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Saibaba Mandir,Pune,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Shanthi Cinemas,Payyanur,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Shivaji Maharaj Museum of Indian History,Pune,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Shri Mai Mandir,Nadiad,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Siddhi Vinayak Ganapati Temple,Dapoli,12,4.833333333333333,0,0,12,0.0,0.0,1.0,1.0
Sri Valli Devashena Shiva Subramanya Swamy Temple,Cuddalore,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Tanda Falls,Mirzapur,12,4.833333333333333,0,0,12,0.0,0.0,1.0,1.0
Tarkeen Dargah,Nagaur,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Thrissanku Hills,Idukki,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Ujlai Devi Temple,Kolhapur,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
West End Mall,Ludhiana,12,4.833333333333333,0,0,12,0.0,0.0,1.0,1.0
Wonderland Park,Raipur,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
Woodland Water Fall,Nainital,6,4.833333333333333,0,0,6,0.0,0.0,1.0,1.0
The Giving Tree at Kasthuri Estate,Siddapura,17,4.823529411764706,0,0,17,0.0,0.0,1.0,1.0
Bango Dam,Korba,11,4.818181818181818,0,0,11,0.0,0.0,1.0,1.0
Delo Park,Kalimpong,11,4.818181818181818,0,0,11,0.0,0.0,1.0,1.0
Someshwara Beach,Byndoor,11,4.818181818181818,0,0,11,0.0,0.0,1.0,1.0
A One Spa,Ramnagar,10,4.8,0,0,10,0.0,0.0,1.0,1.0
Aahilya Dam,Nashik,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Amrapali Museum,Jaipur,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Andheshwar Mahadev Temple,Navsari,10,4.8,0,0,10,0.0,0.0,1.0,1.0
Antique Shop Jaisalmer,Jaisalmer,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Art Life Gallery,Noida,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Aryabhatt Planetarium,Rampur,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Asurankundu Dam,Thrissur,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Baga Retreat House,Bardez,10,4.8,0,0,10,0.0,0.0,1.0,1.0
Bagora and Chimney Villages,Kurseong,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Barna Dam,Raisen,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Bhimkund Waterfall,Keonjhar,10,4.8,0,0,10,0.0,0.0,1.0,1.0
Bhuteshwar Mahadev of Gariaband,Raipur,5,4.8,0,0,5,0.0,0.0,1.0,1.0
CS Grand,Dharmapuri,5,4.8,0,0,5,0.0,0.0,1.0,1.0
CYI - Classical Yoga International,Chandauli,10,4.8,0,0,10,0.0,0.0,1.0,1.0
Chilakoor musilm jumma musjid,Trivandrum,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Dhartimata Temple,Hyderabad,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Disfrutando India,New Delhi,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Dr. A. P. J. Abdul Kalam Memorial,New Delhi,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Flying Folks,Sonipat,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Goa Trip Planner,Nagoa,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Gulur Ganesh Temple,Tumkur,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Haat Kalika Temple,Pithoragarh,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Harwan Gardens,Srinagar,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Iggalur Dam,Madduru,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Inspirit Art Gallery,Udaipur,10,4.8,0,0,10,0.0,0.0,1.0,1.0
Javadhu Hills,Tiruvannamalai,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Kainchi Ashram,Bhowali,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Kavi Keshavsoot Smarak,Malgund,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Kunt Bhayog Lake,Rewalsar,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Lamakaan,Hyderabad,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Le Revive Spa,Maradu,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Luni River,Ajmer,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Maa Barunei Temple,Khurda,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Madhwa Narayana Ashrama Temple,Bengaluru,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Mahadeva Malai Temple,Vellore,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Mogli Adventures,Dharuhera,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Monument Rani Jhansi,Shimla,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Nava Surajdeval,Rajkot,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Om Arts and Crafts,Udaipur,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Paikhai,Aizawl,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Parla Jin Mandir,Mumbai,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Pava Puri Tirth Dham Jain Temple,Sirohi,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Playaza,Trivandrum,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Prince of Sal,Cavelossim,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Raja Mandir,Ayodhya,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Rankeni Mata Temple,Bankura,20,4.8,0,0,20,0.0,0.0,1.0,1.0
Satsar Lake,Sonamarg,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Shekha Jheel,Aligarh,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Shri Navdurga Temple,Canacona,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Sunshine Himalayan Adventures,Banjar,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Tamang Buddhist Monastery,Darjeeling,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Trilok Teerthdham Atishay Kshetra Badagaon,Baghpat,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Varadharaja Theatre,Chennai,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Vimalshah Temple,Palitana,5,4.8,0,0,5,0.0,0.0,1.0,1.0
Susan's Kitchen,Auroville,58,4.793103448275862,0,0,58,0.0,0.0,1.0,1.0
Bundi Paintings : Artist Gopal,Bundi,28,4.785714285714286,0,0,28,0.0,0.0,1.0,1.0
Krishna Vatika Mandir,Mumbai,14,4.785714285714286,0,0,14,0.0,0.0,1.0,1.0
Zalor Beach,Margao,14,4.785714285714286,0,0,14,0.0,0.0,1.0,1.0
Indian Yoga School (www.IndianYoga.School),Mysuru (Mysore),23,4.782608695652174,0,0,23,0.0,0.0,1.0,1.0
Areeckal Waterfalls,Piramadam,9,4.777777777777778,0,0,9,0.0,0.0,1.0,1.0
Indirasagar Dam,Khandwa,9,4.777777777777778,0,0,9,0.0,0.0,1.0,1.0
Ozarkhed Dam,Nashik,9,4.777777777777778,0,0,9,0.0,0.0,1.0,1.0
Redi Beach,Redi,9,4.777777777777778,0,0,9,0.0,0.0,1.0,1.0
Shri Vyankatesh Temple,Nagpur,9,4.777777777777778,0,0,9,0.0,0.0,1.0,1.0
Shantidham Jain Temple,Valsad,13,4.769230769230769,0,0,13,0.0,0.0,1.0,1.0
Sri Kattu Veera Anjaneya Temple,Krishnagiri,13,4.769230769230769,0,0,13,0.0,0.0,1.0,1.0
Venkateshwara Perumal Temple,Ooty,13,4.769230769230769,0,0,13,0.0,0.0,1.0,1.0
Jay Vinayak Temple Jaigad,Ratnagiri,42,4.761904761904762,0,0,42,0.0,0.0,1.0,1.0
Khandoli Park,Giridih,21,4.761904761904762,0,0,21,0.0,0.0,1.0,1.0
Shri Jasnath Asan,Nagaur,29,4.758620689655173,0,0,29,0.0,0.0,1.0,1.0
Bhairabi Temple,Tezpur,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Bhawartal Garden,Jabalpur,16,4.75,0,0,16,0.0,0.0,1.0,1.0
Bihar Institute of Handicrafts and Designs,Patna,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Central Forest Nursery,Nilambur,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Chittaranjan Vatika Garden,Pune,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Krishna Koyna Pritisangam,Karad,8,4.75,0,0,8,0.0,0.0,1.0,1.0
"Malom - ""The coorg of Kerala""",Kasaragod,16,4.75,0,0,16,0.0,0.0,1.0,1.0
Munambam Breakwaters,Kodungallur,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Seran's Fun Park,Theni,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Shantinath Mandir Jain Temple,Jamnagar,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Singhori Wildlife Sanctuary,Bhopal,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Smvs Shri Swaminarayan Mandir,Mehsana,12,4.75,0,0,12,0.0,0.0,1.0,1.0
Sri Bhavannarayana Swamy Temple,Kakinada,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Srinidhi Joy N Joy Resorts,Hyderabad,12,4.75,0,0,12,0.0,0.0,1.0,1.0
WeGo Art Gallery & Art Exhibition,Nashik,8,4.75,0,0,8,0.0,0.0,1.0,1.0
Om Ayurvedic Massage Center,Agonda,27,4.7407407407407405,0,0,27,0.0,0.0,1.0,1.0
Nyari Dam,Rajkot,19,4.7368421052631575,0,0,19,0.0,0.0,1.0,1.0
Moti Tibba,Dalhousie,15,4.733333333333333,0,0,15,0.0,0.0,1.0,1.0
JYES Farms,Kottayam,11,4.7272727272727275,0,0,11,0.0,0.0,1.0,1.0
Old Raku House,Leh,11,4.7272727272727275,0,0,11,0.0,0.0,1.0,1.0
"Shirdhi Sai Baba Temple, Kanyakumari",Kanyakumari,11,4.7272727272727275,0,0,11,0.0,0.0,1.0,1.0
Swami Samarth Temple,Mumbai,11,4.7272727272727275,0,0,11,0.0,0.0,1.0,1.0
Vaayu,Mandrem,11,4.7272727272727275,0,0,11,0.0,0.0,1.0,1.0
Aakriti Nature Cure Centre,Bhopal,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Aarey Bhaskar Garden,Mumbai,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Arani River,Nagpur,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Art Haveli,Delwara,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Baba Mahendra Nath,Gorakhpur,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Calvery Temple,Hyderabad,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Crazy World Water Park,Guntur,14,4.714285714285714,0,0,14,0.0,0.0,1.0,1.0
Desert Handicraft Emporium,Jaisalmer,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Dyaanin,Bidadi,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Guru Gorakhnath Temple,Bhuj,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
"Gyan Thirth, Shri Parshvanath Digambar Jain Mandir",Shirdi,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Joggers Park,Pune,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Kalleshvara Temple,Davangere,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Kareem's Forest Park,Kasaragod,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
MD Tour And Travel,Mohali,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Mahamaya Devi Temple,Bilaspur,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Maharaja Park,Hassan,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Njarackal Arattuvazhi Beach,Vypin Island,14,4.714285714285714,0,0,14,0.0,0.0,1.0,1.0
Paradeep Beach,Cuttack,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Phurli Jharan Falls,Bhawanipatna,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Shani Dev Mandir,Pathankot,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Shree Durgaparmeshwari temple,Udupi,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Sri Datta Anjaneya Kshetram,Aluva,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Sri Nellikattu Bagavathi temple,Ernakulam,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
SriMa International School of Transformational Yoga,Pondicherry,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
The Harrington Street Arts Centre,Kolkata,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Vadanapilly Beach,Kodungallur,7,4.714285714285714,0,0,7,0.0,0.0,1.0,1.0
Delhi Art Gallery,New Delhi,10,4.7,0,0,10,0.0,0.0,1.0,1.0
Ekant Park,Bhopal,10,4.7,0,0,10,0.0,0.0,1.0,1.0
MDDA Park,Dehradun,30,4.7,0,0,30,0.0,0.0,1.0,1.0
Maha Bodhi Society Temple,Bengaluru,10,4.7,0,0,10,0.0,0.0,1.0,1.0
Mahatma Gandhi Garden,Jalgaon,10,4.7,0,0,10,0.0,0.0,1.0,1.0
Nawegaon Lake,Gondia,10,4.7,0,0,10,0.0,0.0,1.0,1.0
Pine Children Park,Meerut,10,4.7,0,0,10,0.0,0.0,1.0,1.0
Shree Manudevi,Jalgaon,10,4.7,0,0,10,0.0,0.0,1.0,1.0
Shree Umiya Mata Temple,Unjha,10,4.7,0,0,10,0.0,0.0,1.0,1.0
Vardhaman Park,Bhopal,20,4.7,0,0,20,0.0,0.0,1.0,1.0
Dolanji Bon Monastery,Barog,13,4.6923076923076925,0,0,13,0.0,0.0,1.0,1.0
Kamla Nehru Bal Udhyan,Bhopal,13,4.6923076923076925,0,0,13,0.0,0.0,1.0,1.0
Siddeshwara Temple,Nanded,13,4.6923076923076925,0,0,13,0.0,0.0,1.0,1.0
Vernssage Art Gallery,New Delhi,32,4.6875,0,0,32,0.0,0.0,1.0,1.0
Vayalada,Kozhikode,25,4.68,0,0,25,0.0,0.0,1.0,1.0
Abbimatta Falls,Kudrasthe,6,4.666666666666667,0,0,6,0.0,0.0,1.0,1.0
Atreya Vedic and Spice Plantation,Mollem National Park,9,4.666666666666667,0,0,9,0.0,0.0,1.0,1.0
Bharath Matha Temple,Kanyakumari,6,4.666666666666667,0,0,6,0.0,0.0,1.0,1.0
Bhootnath Temple,Rishikesh,9,4.666666666666667,0,0,9,0.0,0.0,1.0,1.0
