Place,City,total_reviews,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Arittapatti Shivan Temple,Madurai,11,4.090909090909091,1,1,9,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273
Eklakhi Mausoleum,Malda,11,4.090909090909091,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Kudumiyanmalai Temple,Pudukkottai,11,4.090909090909091,1,1,9,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273
Lakshmi Venkataramanaswamy temple,Mysuru (Mysore),22,4.090909090909091,0,6,16,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Mirabai Temple,Mathura,11,4.090909090909091,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Nawabganj Bird Sanctuary,Unnao,11,4.090909090909091,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Om Sri Skandasramam,Tambaram,11,4.090909090909091,1,1,9,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273
Padum Pukhuri Lake,Tezpur,11,4.090909090909091,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Rainbow Falls,Sohra,22,4.090909090909091,0,6,16,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Sachcha Baba Ashram,Allahabad,11,4.090909090909091,1,1,9,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273
Thomankuthu  Falls,Idukki,11,4.090909090909091,1,1,9,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273
Valayanad Devi Temple,Kozhikode,11,4.090909090909091,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Centre Square Mall,Kochi (Cochin),88,4.079545454545454,6,12,70,0.06818181818181818,0.13636363636363635,0.7954545454545454,0.7272727272727273
Our Lady of Grace Church,Margao,33,4.0606060606060606,2,5,26,0.06060606060606061,0.15151515151515152,0.7878787878787878,0.7272727272727273
Miniature World Museum,Lonavala,22,4.045454545454546,1,4,17,0.045454545454545456,0.18181818181818182,0.7727272727272727,0.7272727272727273
Tilon Ki Pol,Jaisalmer,22,4.045454545454546,0,6,16,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
3Cs Mall,New Delhi,11,4.0,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
Anna Science Centre Planetarium,Tiruchirappalli,11,4.0,1,1,9,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273
Bir Moti Bagh Sanctuary,Patiala,11,4.0,0,3,8,0.0,0.2727272727272727,0.7272727272727273,0.7272727272727273
